"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"SING_M_WI","vedovo","THV","valori in migliaia","2009","2009",494,,
"SING_M_WI","vedovo","THV","valori in migliaia","2010","2010",491,,
"SING_M_WI","vedovo","THV","valori in migliaia","2011","2011",497,,
"SING_M_WI","vedovo","THV","valori in migliaia","2012","2012",514,,
"SING_M_WI","vedovo","THV","valori in migliaia","2013","2013",533,,
"SING_M_WI","vedovo","THV","valori in migliaia","2014","2014",557,,
"SING_M_WI","vedovo","THV","valori in migliaia","2015","2015",566,,
"SING_M_WI","vedovo","THV","valori in migliaia","2016","2016",526,,
"SING_M_WI","vedovo","THV","valori in migliaia","2017","2017",500,,
"SING_M_WI","vedovo","THV","valori in migliaia","2018","2018",554,,
"SING_M_WI","vedovo","THV","valori in migliaia","2019","2019",604,,
"SING_M_WI","vedovo","THV","valori in migliaia","2020","2020",618,,
"SING_M_WI","vedovo","THV","valori in migliaia","2021","2021",641,,
"SING_M_WI","vedovo","THV","valori in migliaia","2022","2022",643,,
"SING_SDF_GE65","65 anni e più","THV","valori in migliaia","2009","2009",126,,
"SING_SDF_GE65","65 anni e più","THV","valori in migliaia","2010","2010",135,,
"SING_SDF_GE65","65 anni e più","THV","valori in migliaia","2011","2011",155,,
"SING_SDF_GE65","65 anni e più","THV","valori in migliaia","2012","2012",156,,
"SING_SDF_GE65","65 anni e più","THV","valori in migliaia","2013","2013",165,,
"SING_SDF_GE65","65 anni e più","THV","valori in migliaia","2014","2014",177,,
"SING_SDF_GE65","65 anni e più","THV","valori in migliaia","2015","2015",176,,
"SING_SDF_GE65","65 anni e più","THV","valori in migliaia","2016","2016",226,,
"SING_SDF_GE65","65 anni e più","THV","valori in migliaia","2017","2017",258,,
"SING_SDF_GE65","65 anni e più","THV","valori in migliaia","2018","2018",297,,
"SING_SDF_GE65","65 anni e più","THV","valori in migliaia","2019","2019",308,,
"SING_SDF_GE65","65 anni e più","THV","valori in migliaia","2020","2020",277,,
"SING_SDF_GE65","65 anni e più","THV","valori in migliaia","2021","2021",317,,
"SING_SDF_GE65","65 anni e più","THV","valori in migliaia","2022","2022",335,,
"SING_UNM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2009","2009",76,,
"SING_UNM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2010","2010",76.8,,
"SING_UNM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2011","2011",78.9,,
"SING_UNM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2012","2012",78.5,,
"SING_UNM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2013","2013",77.4,,
"SING_UNM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2014","2014",78.5,,
"SING_UNM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2015","2015",79.7,,
"SING_UNM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2016","2016",80.7,,
"SING_UNM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2017","2017",81.6,,
"SING_UNM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2018","2018",83.5,,
"SING_UNM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2019","2019",83.5,,
"SING_UNM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2020","2020",82.3,,
"SING_UNM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2021","2021",85.2,,
"SING_UNM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2022","2022",86,,
"SING_SDM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2009","2009",23.8,,
"SING_SDM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2010","2010",22.9,,
"SING_SDM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2011","2011",21.1,,
"SING_SDM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2012","2012",21.3,,
"SING_SDM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2013","2013",22.4,,
"SING_SDM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2014","2014",21.3,,
"SING_SDM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2015","2015",19.6,,
"SING_SDM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2016","2016",18.5,,
"SING_SDM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2017","2017",17.8,,
"SING_SDM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2018","2018",15.9,,
"SING_SDM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2019","2019",15.9,,
"SING_SDM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2020","2020",17.3,,
"SING_SDM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2021","2021",14.6,,
"SING_SDM_45","meno di 45 anni","HSC_S","per 100 persone sole con le stesse caratteristiche","2022","2022",13.8,,
"SING_GE65_M","65 anni e più","THV","valori in migliaia","2009","2009",754,,
"SING_GE65_M","65 anni e più","THV","valori in migliaia","2010","2010",764,,
"SING_GE65_M","65 anni e più","THV","valori in migliaia","2011","2011",809,,
"SING_GE65_M","65 anni e più","THV","valori in migliaia","2012","2012",864,,
"SING_GE65_M","65 anni e più","THV","valori in migliaia","2013","2013",903,,
"SING_GE65_M","65 anni e più","THV","valori in migliaia","2014","2014",925,,
"SING_GE65_M","65 anni e più","THV","valori in migliaia","2015","2015",925,,
"SING_GE65_M","65 anni e più","THV","valori in migliaia","2016","2016",940,,
"SING_GE65_M","65 anni e più","THV","valori in migliaia","2017","2017",975,,
"SING_GE65_M","65 anni e più","THV","valori in migliaia","2018","2018",1058,,
"SING_GE65_M","65 anni e più","THV","valori in migliaia","2019","2019",1100,,
"SING_GE65_M","65 anni e più","THV","valori in migliaia","2020","2020",1103,,
"SING_GE65_M","65 anni e più","THV","valori in migliaia","2021","2021",1169,,
"SING_GE65_M","65 anni e più","THV","valori in migliaia","2022","2022",1138,,
"SING_MF_WI","vedova/vedovo","HSC_S","per 100 persone sole con le stesse caratteristiche","2009","2009",42.4,,
"SING_MF_WI","vedova/vedovo","HSC_S","per 100 persone sole con le stesse caratteristiche","2010","2010",41.7,,
"SING_MF_WI","vedova/vedovo","HSC_S","per 100 persone sole con le stesse caratteristiche","2011","2011",40,,
"SING_MF_WI","vedova/vedovo","HSC_S","per 100 persone sole con le stesse caratteristiche","2012","2012",40.4,,
"SING_MF_WI","vedova/vedovo","HSC_S","per 100 persone sole con le stesse caratteristiche","2013","2013",41.4,,
"SING_MF_WI","vedova/vedovo","HSC_S","per 100 persone sole con le stesse caratteristiche","2014","2014",39.9,,
"SING_MF_WI","vedova/vedovo","HSC_S","per 100 persone sole con le stesse caratteristiche","2015","2015",39.3,,
"SING_MF_WI","vedova/vedovo","HSC_S","per 100 persone sole con le stesse caratteristiche","2016","2016",38.2,,
"SING_MF_WI","vedova/vedovo","HSC_S","per 100 persone sole con le stesse caratteristiche","2017","2017",36.7,,
"SING_MF_WI","vedova/vedovo","HSC_S","per 100 persone sole con le stesse caratteristiche","2018","2018",36.2,,
"SING_MF_WI","vedova/vedovo","HSC_S","per 100 persone sole con le stesse caratteristiche","2019","2019",36.8,,
"SING_MF_WI","vedova/vedovo","HSC_S","per 100 persone sole con le stesse caratteristiche","2020","2020",37.9,,
"SING_MF_WI","vedova/vedovo","HSC_S","per 100 persone sole con le stesse caratteristiche","2021","2021",37.9,,
"SING_MF_WI","vedova/vedovo","HSC_S","per 100 persone sole con le stesse caratteristiche","2022","2022",36.9,,
"SING_L45_MF","meno di 45 anni","THV","valori in migliaia","2009","2009",1773,,
"SING_L45_MF","meno di 45 anni","THV","valori in migliaia","2010","2010",1887,,
"SING_L45_MF","meno di 45 anni","THV","valori in migliaia","2011","2011",2002,,
"SING_L45_MF","meno di 45 anni","THV","valori in migliaia","2012","2012",1920,,
"SING_L45_MF","meno di 45 anni","THV","valori in migliaia","2013","2013",1818,,
"SING_L45_MF","meno di 45 anni","THV","valori in migliaia","2014","2014",1900,,
