"","X.U.FEFF.month","day","year","days","avg.temp","penman.pet","rainfall","discharge","discharge.1","snow.depth","soil.5","soil.10","soil.20","soil.30","soil.40","soil.50","soil.60","soil.80","soil.100","soil.125","soil.150","soil.175","soil.200","soil.225","date","top.soil.temp","ConsecutiveDaysofLessDischarge","SizeOfEachLossInDisccharge","SizeOfDischargeByDay","AvgLossInDischargeForEachRecession","RecessionDay","Spring","Summer","HighTemp","HighSnowFallWinterPrior","HighRainfall","HighSoilTemp","discharge.mm.day","season","loss.discharge"
"1",10,2,2014,275,13.916,3.759,3.6,3310,3310,0,14.13041667,14.2825,14.415,14.39666667,14.33458333,14.29166667,14.23083333,14.12291667,13.97041667,13.63083333,13.16916667,12.69791667,11.50153846,11.21230769,"10/2/2014",14.30614584,0,0,0,0,0,0,0,0,0,0,0,0.1302816,0,0
"2",10,3,2014,276,4.863,2.845,1.3,3240,3240,0,8.425958333,9.962083333,12.2925,13.44416667,13.88291667,14.03125,14.05833333,13.96083333,13.81625,13.49833333,13.0875,12.62208333,11.50153846,11.21230769,"10/3/2014",11.03117708,1,-70,-70,-70,0,0,0,0,0,0,0,0.1275264,0,-0.0027552
"3",10,4,2014,277,4.4,2.972,0,3310,3310,0,8.107,9.24675,10.9175,12.20208333,12.93083333,13.40666667,13.67291667,13.84,13.78208333,13.49875,13.09125,12.64208333,11.50153846,11.21230769,"10/4/2014",10.11833333,0,0,0,0,0,0,0,0,0,0,0,0.1302816,0,0
"4",10,5,2014,278,7.858,5.029,0,3280,3280,0,8.974958333,9.630625,10.65291667,11.63708333,12.29958333,12.80875,13.15375,13.505,13.60625,13.42916667,13.06166667,12.6425,11.50153846,11.21230769,"10/5/2014",10.22389583,1,-30,-30,0,0,0,0,0,0,0,0,0.1291008,0,-0.0011808
"5",10,6,2014,279,7.704,5.029,0,3240,3240,0,8.6665,9.292708333,10.275,11.25666667,11.90708333,12.41291667,12.77916667,13.21041667,13.40083333,13.31916667,13.01166667,12.61583333,11.50153846,11.21230769,"10/6/2014",9.872718751,2,-70,-40,-35,0,0,0,0,0,0,0,0.1275264,0,-0.0015744
"6",10,7,2014,280,6.166,4.496,0,3240,3240,0,8.3475,9.090458333,10.12,11.0075,11.615,12.08916667,12.46916667,12.93833333,13.18875,13.18875,12.96375,12.60208333,11.50153846,11.21230769,"10/7/2014",9.641364583,0,0,0,0,0,0,0,0,0,0,0,0.1275264,0,0
"7",10,8,2014,281,4.024,2.565,0,3240,3240,0,6.731291667,7.706916667,9.252083333,10.46333333,11.19708333,11.74833333,12.1525,12.66625,12.97291667,13.04583333,12.87125,12.55583333,11.50153846,11.21230769,"10/8/2014",8.538406249,0,0,0,0,0,0,0,0,0,0,0,0.1275264,0,0
"8",10,9,2014,282,3.383,2.261,0,3140,3140,0,6.191625,7.042416667,8.534791667,9.838333333,10.65958333,11.305,11.76916667,12.38291667,12.76208333,12.8975,12.77,12.50458333,11.50153846,11.21230769,"10/9/2014",7.901791667,1,-100,-100,-100,0,0,0,0,0,0,0,0.1235904,0,-0.003936
"9",10,10,2014,283,4.476,2.362,0,3170,3170,0,6.1745,6.819083333,8.05675,9.32875,10.16958333,10.855,11.34541667,12.03583333,12.51166667,12.73,12.65041667,12.43375,11.50153846,11.21230769,"10/10/2014",7.594770833,0,0,0,0,0,0,0,0,0,0,0,0.1247712,0,0
"10",10,11,2014,284,9.359,5.766,0,3200,3200,0,8.743125,8.666833333,8.757625,9.4425,10.04041667,10.60333333,11.07416667,11.78541667,12.25791667,12.53583333,12.5375,12.36541667,11.50153846,11.21230769,"10/11/2014",8.902520833,0,0,0,0,0,0,0,0,0,0,0,0.125952,0,0
"11",10,12,2014,285,10.977,2.057,6.4,3190,3190,0,9.53775,9.516458333,9.636666667,9.915416667,10.25208333,10.58708333,10.95791667,11.54625,12.00416667,12.31333333,12.405,12.26208333,11.50153846,11.21230769,"10/12/2014",9.651572917,1,-10,-10,-10,0,0,0,0,0,0,0,0.1255584,0,-0.0003936
"12",10,13,2014,286,10.816,2.159,0,3250,3250,0,10.947,10.82904167,10.62125,10.52541667,10.60583333,10.79958333,11.03,11.49041667,11.92583333,12.24291667,12.34458333,12.25291667,11.50153846,11.21230769,"10/13/2014",10.73067709,0,0,0,0,0,0,0,0,0,0,0,0.12792,0,0
"13",10,14,2014,287,9.588,2.642,0,3220,3220,0,9.313458333,9.377583333,9.81125,10.34875,10.63541667,10.88833333,11.05166667,11.41458333,11.78583333,12.09083333,12.18541667,12.14541667,11.50153846,11.21230769,"10/14/2014",9.712760417,1,-30,-30,-30,0,0,0,0,0,0,0,0.1267392,0,-0.0011808
"14",10,15,2014,288,12.865,4.978,0,3270,3270,0,10.34925,10.05383333,10.03833333,10.36125,10.59916667,10.83833333,11.02416667,11.37375,11.68583333,11.95958333,12.07125,12.05,11.50153846,11.21230769,"10/15/2014",10.20066667,0,0,0,0,0,0,0,0,0,0,0,0.1287072,0,0
"15",10,16,2014,289,13.535,4.267,0.8,3230,3230,0,11.21979167,10.83625,10.5525,10.61166667,10.7125,10.8725,11.01833333,11.32708333,11.60375,11.84958333,11.9625,11.9525,11.50153846,11.21230769,"10/16/2014",10.80505209,1,-40,-40,0,0,0,0,0,0,0,0,0.1271328,0,-0.0015744
"16",10,17,2014,290,6.644,1.219,0.5,3170,3170,0,8.222916667,8.99625,10.03375,10.52583333,10.75791667,10.89666667,11.03708333,11.26291667,11.48916667,11.70166667,11.84041667,11.82958333,11.50153846,11.21230769,"10/17/2014",9.444687499,2,-100,-60,-50,0,0,0,0,0,0,0,0.1247712,0,-0.0023616
"17",10,18,2014,291,6.076,0.737,0,3190,3190,0,7.345833333,8.099125,9.28875,10.03291667,10.45916667,10.73583333,10.95625,11.22166667,11.43166667,11.62208333,11.75458333,11.74625,11.50153846,11.21230769,"10/18/2014",8.691656251,0,0,0,0,0,0,0,0,0,0,0,0.1255584,0,0
"18",10,19,2014,292,11.117,3.099,0,3170,3170,0,9.71525,9.578625,9.577083333,9.94625,10.26541667,10.60583333,10.84125,11.2175,11.48791667,11.69,11.76083333,11.7725,11.50153846,11.21230769,"10/19/2014",9.704302083,1,-20,-20,-20,0,0,0,0,0,0,0,0.1247712,0,-0.0007872
"19",10,20,2014,293,8.383,1.93,0,3180,3180,0,8.310666667,8.606,9.264708333,9.865833333,10.21,10.50958333,10.715,11.07708333,11.40958333,11.62625,11.70291667,11.71166667,11.50153846,11.21230769,"10/20/2014",9.011802083,0,0,0,0,0,0,0,0,0,0,0,0.1251648,0,0
"20",10,21,2014,294,10.904,4.343,0,3180,3180,0,9.475333333,9.267,9.173833333,9.634166667,9.999166667,10.33333333,10.57458333,10.96416667,11.25333333,11.49166667,11.59625,11.61833333,11.50153846,11.21230769,"10/21/2014",9.387583333,0,0,0,0,0,0,0,0,0,0,0,0.1251648,0,0
